,Unnamed: 0,tag,token0,token1,date,timestamp,token0_daily_price_median_mint,token0_daily_amount_mint,token0_daily_price_median_burn,token0_daily_amount_burn,token0_daily_amount_net_mint_burn,liquidity_daily_sum_mint,liquidity_daily_sum_burn,liquidity_daily_net_mint_burn,token0_daily_price_median_swap,token0_daily_price_min_swap,token0_daily_price_max_swap,token0_daily_price_std_swap,token0_daily_amount_buy_swap,token0_daily_amount_sell_swap,token0_daily_amount_net_swap,total_events_daily_mint,total_events_daily_burn,total_events_daily_swap,total_events_daily
87,87,USDC_USDT,USDC,USDT,2023-10-06,1696550400,0.99144,-305637.305876,0.9993927583417974,104958.519436,-200678.78644000005,1.0675391079411596e+16,-1.122797799662452e+16,-552586917212924.0,0.9998436479068984,1.0030618613544078,0.951146,0.0006087663662633,4395010.893402001,-4175883.160991,219127.73241100088,327,866,7568,8761
89,89,USDC_USDT,USDC,USDT,2023-10-07,1696636800,0.9968126917177914,-63733.782025,0.9996323957203084,43718.072687,-20015.709338,1901507161165163.2,-1237558872675229.0,663948288489934.0,0.9998722730267398,1.0077093240550452,0.9969795984096382,0.0001932663820314,4001869.62197,-4065125.455936,-63255.83396599954,230,497,8357,9084
90,90,USDC_USDT,USDC,USDT,2023-10-08,1696723200,0.9925478982129672,-202767.488522,0.9958286234931664,270069.928005,67302.439483,1.783256625527694e+16,-1.7422371970557758e+16,410194284719182.0,0.9997850697024536,1.0539320490262256,0.986841205810385,0.0008027332411457,3657291.773626,-3827173.51955,-169881.74592400016,179,537,9154,9870
93,93,USDC_USDT,USDC,USDT,2023-10-09,1696809600,0.9774528558823528,-178731.812635,0.9939741071704012,219220.78868,40488.97604499999,8247150983383590.0,-7029921292953530.0,1217229690430061.0,0.9997502049001212,1.0544037668357849,0.9871606412788828,0.0006281255717181,3208085.467675,-3093124.909669,114960.55800600024,369,406,13060,13835
95,95,USDC_USDT,USDC,USDT,2023-10-10,1696896000,0.9837131222771122,-127854.66631,0.9833303808862042,143163.781016,15309.114706000008,6138350955909683.0,-4403527022944590.5,1734823932965093.0,0.9997450209016256,1.003018831400337,0.9718309859154928,0.0002540611334725,3432409.609825,-3306765.913509,125643.69631600007,736,323,19389,20448
96,96,USDC_USDT,USDC,USDT,2023-10-11,1696982400,0.9776319786514206,-325376.63680700003,0.97747676207963,321145.262968,-4231.373839000065,4103884164775017.5,-9620457192156464.0,-5516573027381446.0,0.9997396504490866,1.0030743294443427,0.9866666666666668,0.0002452165655733,3530708.48302,-3383123.025005,147585.45801499998,651,303,8057,9011
98,98,USDC_USDT,USDC,USDT,2023-10-12,1697068800,0.9989123623511904,-127991.35635,0.9998428890921224,61455.090946,-66536.26540399999,5011819044038047.0,-4146210709907216.0,865608334130831.0,0.9999104716757294,1.131578947368421,0.7999999999999999,0.006651298812426,2863921.102991,-2678757.277346,185163.8256449997,529,260,7697,8486
101,101,USDC_USDT,USDC,USDT,2023-10-13,1697155200,0.99994,-163700.568238,0.999940732760546,87199.271277,-76501.296961,6313927387885262.0,-4173760860435569.5,2140166527449692.0,0.9999509077148298,1.0285714285714287,0.98,0.0004707423938981,3259098.388096,-3205796.55876,53301.82933600014,469,166,10069,10704
102,102,USDC_USDT,USDC,USDT,2023-10-14,1697241600,1.0003335180858344,-151592.06574700002,1.0000393794861115,44290.733463,-107301.33228400002,3923404120579624.0,-6746023680843154.0,-2822619560263530.0,1.0000183050374707,1.020408163265306,0.5,0.0138848841271416,4513360.9498580005,-4371858.134446,141502.81541200075,459,179,9084,9722
105,105,USDC_USDT,USDC,USDT,2023-10-15,1697328000,1.0003185051491663,-125490.686149,1.0000024372826248,124223.326798,-1267.359350999977,2687312342867817.0,-2192659027935883.2,494653314931934.0,1.0000128108401922,1.0027603513174406,0.5,0.0103499445915224,3311813.019709,-3252523.463604,59289.55610499997,452,291,9337,10080
106,106,USDC_USDT,USDC,USDT,2023-10-16,1697414400,1.000307427019835,-138451.352106,1.0013761262843133,127401.998169,-11049.353937000007,3788563540770105.5,-3394589717105007.0,393973823665099.0,1.0000037983555463,1.0105263157894735,0.9923076923076924,0.000253161670333,5201778.859858001,-5156793.650278,44985.20958000049,430,135,8815,9380
108,108,USDC_USDT,USDC,USDT,2023-10-17,1697500800,1.0003552986060569,-91809.627645,1.0002271135701446,96697.398013,4887.770367999998,2589907154577391.0,-2010320301425540.0,579586853151851.0,0.9999880328476496,1.007936507936508,0.95,0.0006368074035724,5363442.790795,-5438530.827773999,-75088.03697899915,803,189,8965,9957
110,110,USDC_USDT,USDC,USDT,2023-10-18,1697587200,1.0000119013828366,-131063.027892,1.000011897606427,111443.532529,-19619.49536300001,8188416749069210.0,-3442951835874144.0,4745464913195065.0,0.9999785989146056,1.0285714285714287,0.9906832298136644,0.0003851718250245,4551519.434522,-4495206.931498,56312.50302399974,398,166,7135,7699
113,113,USDC_USDT,USDC,USDT,2023-10-19,1697673600,1.0000118983465769,-183167.362205,1.0000118924415795,175255.748424,-7911.613781000022,1.3788270002869242e+16,-1.516390801718814e+16,-1375638014318898.0,0.9999457906549392,1.0016433993334295,0.975609756097561,0.0003103940722779,4395666.907344,-4504043.786295,-108376.87895100098,411,158,9090,9659
114,114,USDC_USDT,USDC,USDT,2023-10-20,1697760000,0.9939474584153782,-34175.25031,0.9961219450405248,94139.575417,59964.32510699999,2188415808246704.8,-4049003194296558.5,-1860587386049852.8,0.999871344883466,2.0,0.9591836734693876,0.012908460238845,3082036.135563,-3170592.031152,-88555.89558899961,459,176,6018,6653
116,116,USDC_USDT,USDC,USDT,2023-10-21,1697846400,0.99233,-42676.5372,0.9923309265767294,25571.123287,-17105.413912999997,406864896895724.0,-5057364364914571.0,-4650499468018847.0,0.9998074557233588,1.0071942446043165,0.985,0.0002101365407314,4664841.149114,-4803301.855307,-138460.70619300008,411,135,8814,9360
