,tag,token0,token1,date,timestamp,token0_daily_price_median_mint,token0_daily_amount_mint,token0_daily_price_median_burn,token0_daily_amount_burn,token0_daily_amount_net_mint_burn,liquidity_daily_sum_mint,liquidity_daily_sum_burn,liquidity_daily_net_mint_burn,token0_daily_price_median_swap,token0_daily_price_min_swap,token0_daily_price_max_swap,token0_daily_price_std_swap,token0_daily_amount_buy_swap,token0_daily_amount_sell_swap,token0_daily_amount_net_swap,total_events_daily_mint,total_events_daily_burn,total_events_daily_swap,total_events_daily
23,ETH_USDC,ETH,USDC,2023-09-04,1693785600,1689.8600494565026,-0.9181954723987718,1689.859340761835,0.5134444510046149,-0.40475102139415686,1113452098804382.0,-399306719696977.0,714145379107405.0,1547.113038923633,1547.113038923633,1547.113038923633,,0.13661331827895787,0.0,0.13661331827895787,99,34,1,134
24,USDC_USDT,USDC,USDT,2023-09-05,1693872000,1.0285436666666667,-34.542939000000004,0.3858190533817337,43.746687,9.203747999999997,2382228659.0,-1710923839.0,671304820.0,,,,,,,,10,3,0,13
25,ETH_USDC,ETH,USDC,2023-09-05,1693872000,1689.8600494554407,-0.40701052974279034,1689.8599239025184,0.1518458718380365,-0.25516465790475384,2813822343865301.0,-108185993406602.0,2705636350458699.0,1600.5546913802752,1600.5546913802752,1600.5546913802752,,0.007166396163637746,0.0,0.007166396163637746,120,11,1,132
26,ETH_USDC,ETH,USDC,2023-09-06,1693958400,1689.860049457723,-0.2929733876556932,1689.859726482062,0.14337932849741403,-0.14959405915827917,252269249747256.0,-231903274958776.0,20365974788480.0,1626.0046865489505,1644.3340399757724,1597.1554099817774,21.42570321384867,0.003574664022741716,-0.055890999999999996,-0.05231633597725828,63,9,5,77
27,USDC_USDT,USDC,USDT,2023-09-06,1693958400,1.0,-112.683782,1.0285546735388411,2.990999,-109.69278299999999,2161267685.0,-52405070.0,2108862615.0,0.99300625,0.99300625,0.99300625,,0.0,-0.32,-0.32,3,1,1,5
28,ETH_USDC,ETH,USDC,2023-09-07,1694044800,1650.181270789039,-0.1782062319383153,1650.179528531192,0.07015752959483744,-0.10804870234347787,235227309433688.0,-80913522679071.0,154313786754617.0,,,,,,,,139,74,0,213
29,USDC_USDT,USDC,USDT,2023-09-07,1694044800,1.0,-76.575667,1.0,4.088565,-72.487102,2875174145.0,-506311248.0,2368862897.0,,,,,,,,7,3,0,10
30,ETH_USDC,ETH,USDC,2023-09-08,1694131200,1650.1812707890392,-0.2578185853543192,1650.1811428857136,0.059338519953440354,-0.1984800654008788,203681268939993.0,-41966033086835.0,161715235853158.0,1635.4709999999998,1638.9879999999998,1628.6950266076474,4.307078922267223,0.0,-0.10500101354478707,-0.10500101354478707,48,6,5,59
31,USDC_USDT,USDC,USDT,2023-09-08,1694131200,1.0,-232.652177,0.4110393591814803,19.939998,-212.712179,89352382597.0,-1186714151.0,88165668446.0,,,,,,,,113,1,0,114
32,ETH_USDC,ETH,USDC,2023-09-09,1694217600,1581.5277395628245,-0.9427100710234547,1581.527649295949,0.1732500731388492,-0.7694599978846055,9.875716783585892e+17,-9.869339156700946e+17,637762688494592.0,,,,,,,,112,18,0,130
33,USDC_USDT,USDC,USDT,2023-09-09,1694217600,1.028288265,-499.44869800000004,,0,-499.44869800000004,130200396204.0,0,130200396204.0,,,,,,,,24,0,0,24
34,USDC_USDT,USDC,USDT,2023-09-10,1694304000,0.9695746665922905,-423.39535700000005,,0,-423.39535700000005,12138930701.0,0,12138930701.0,,,,,,,,29,0,0,29
35,ETH_USDC,ETH,USDC,2023-09-10,1694304000,1581.527739562989,-0.48791044969503566,1581.5276740155184,0.16636047798072584,-0.3215499717143098,5.246731032291227e+18,-5.246424831609028e+18,306200682199040.0,,,,,,,,111,12,0,123
36,ETH_USDC,ETH,USDC,2023-09-11,1694390400,1581.527739563429,-0.6965333756033705,1581.5275809337227,0.1303134768689882,-0.5662198987343823,6.767642813508342e+18,-6.76710892520645e+18,533888301891584.0,1617.163012747905,1617.163012747905,1598.8378583826527,5.794922626837432,0.0,-6.170992640249753,-6.170992640249753,127,11,10,148
37,USDC_USDT,USDC,USDT,2023-09-11,1694390400,1.02828828,-644.021694,1.0282882773492044,623.921787,-20.09990700000003,565483748549.0,-10860518309.0,554623230240.0,0.999583654405641,0.999583654405641,0.999583654405641,0.0,0.0,-2236.610673,-2236.610673,13,8,9,30
38,USDC_USDT,USDC,USDT,2023-09-12,1694476800,1.085623178206873,-6.081728,,0,-6.081728,598585391367.0,0,598585391367.0,,,,,,,,2,0,0,2
39,ETH_USDC,ETH,USDC,2023-09-12,1694476800,1689.3206322062683,-0.3734838372417149,1689.3206061379599,0.26561266430435054,-0.10787117293736437,8.294857184478214e+17,-8.009381230063005e+17,2.8547595441520896e+16,,,,,,,,61,9,0,70
40,ETH_USDC,ETH,USDC,2023-09-13,1694563200,1689.3206322062695,-0.06170362738443597,1775.6406839193487,0.022026466225711302,-0.039677161158724675,43791270656402.0,-23611423647235.0,20179847009167.0,1562.0794126450548,1562.0794126450548,1562.0794126450548,,0.002664002845382596,0.0,0.002664002845382596,25,3,1,29
41,USDC_USDT,USDC,USDT,2023-09-13,1694563200,1.0282876288659795,-5959.948559,,0,-5959.948559,1044272173416.0,0,1044272173416.0,0.9995964811214821,0.9995964811214821,0.9995964811214821,,101.49711,0.0,101.49711,5,0,1,6
42,ETH_USDC,ETH,USDC,2023-09-14,1694649600,1689.320632205996,-12.798675482239968,1689.3205859471627,0.45684131100156455,-12.341834171238403,9630181268773528.0,-324302866910177.0,9305878401863352.0,1629.8349856532022,1645.132324996867,1292.5463162429987,19.66328641244245,11.273300983419414,-7.4997949594140465,3.7735060240053677,78,10,450,538
43,USDC_USDT,USDC,USDT,2023-09-14,1694649600,0.9989001058317585,-27203.991328000004,1.040149684662755,98.50829800000001,-27105.483030000003,14079816814705.0,-1730646147.0,14078086168558.0,0.9991199651288004,1.0009314544484134,0.9959999999999999,0.00042332142798164757,233482.302827,-226393.821574,7088.481253000005,21,2,827,850
44,USDC_USDT,USDC,USDT,2023-09-15,1694736000,0.9707303624079899,-53593.46421700001,0.9668938660721195,14914.601958000001,-38678.86225900001,24598815029824.0,-2758901586799.0,21839913443025.0,0.999263583269137,1.0010274898602975,0.9950288891653919,0.0004653173585265526,1532285.0300150001,-1481969.584053,50315.44596200017,51,20,4255,4326
45,ETH_USDC,ETH,USDC,2023-09-15,1694736000,1614.4079703273,-19.18431180588593,1661.4777421112235,1.2093455892171936,-17.974966216668737,4.0994686012940376e+16,-2636768241306523.0,3.835791777163386e+16,1625.1433337139358,1686.7296296296297,1609.397523991805,6.708277118630363,38.86634172972204,-29.52718987555438,9.339151854167657,88,15,1762,1865
46,USDC_USDT,USDC,USDT,2023-09-16,1694822400,1.01830425,-107071.532714,1.018304889425753,23760.271090000006,-83311.26162399999,517384718946143.0,-9549060434586.0,507835658511557.0,0.9996242688668805,1.003601300563094,0.997,0.0002524278787412045,2925105.532079,-2872844.5841490002,52260.94792999979,134,19,7804,7957
47,ETH_USDC,ETH,USDC,2023-09-16,1694822400,1635.9486471403288,-6.494895999149399,1640.8849092500789,10.370081659770479,3.8751856606210797,1.1713157619106744e+18,-1.1912427510190676e+18,-1.9926989108393216e+16,1633.419394197968,1723.3757142857144,1600.0,4.479349954629069,343.6851740252802,-315.3366988804537,28.348475144826523,168,42,5398,5608
48,USDC_USDT,USDC,USDT,2023-09-17,1694908800,1.0164246115555555,-102625.125462,1.0371886084114819,73310.57081199998,-29314.55465000002,156876362398215.0,-46710294207602.0,110166068190613.0,0.9997836462635161,1.0043356825877325,0.9924999999999999,0.000636907747568901,3631364.068062,-3517712.679666,113651.38839600002,98,35,9024,9157
49,ETH_USDC,ETH,USDC,2023-09-17,1694908800,1629.2177294976605,-5.448631883651955,1620.9689245006805,2.358213579044437,-3.090418304607518,6849445899347800.0,-1794222393996367.0,5055223505351433.0,1627.1544865717942,1646.5784470618669,1600.0,4.870959683062443,519.7490716465157,-524.663155032368,-4.914083385852223,148,33,8830,9011
50,USDC_USDT,USDC,USDT,2023-09-18,1694995200,1.0096187078791279,-59583.350513,1.0086070131021592,28430.965806999997,-31152.384706,365572067775675.0,-172807656055086.0,192764411720589.0,0.9996326874107415,1.0041065746195543,0.98989898989899,0.00046846579118837496,1972969.8988919999,-1915331.197671,57638.70122099994,106,31,3749,3886
51,ETH_USDC,ETH,USDC,2023-09-18,1694995200,1639.0247323085944,-11.891319081580061,1635.3575235335768,4.130371602831581,-7.76094747874848,1.4902577408733427e+17,-1.32678869366833e+17,1.634690472050128e+16,1632.4270841085508,2244.168893996628,1387.0872130343573,22.90554565280423,423.7356528623626,-391.23499189186504,32.50066097049756,181,36,5455,5672
52,USDC_USDT,USDC,USDT,2023-09-19,1695081600,0.997063282548349,-36987.218185,0.9970634048285234,27040.356685000002,-9946.861499999995,45621569158474.0,-8778411133208.0,36843158025266.0,0.9997265162423338,1.002942091196767,0.995706262757498,0.00026260313334116567,3548574.767311,-3498645.531399,49929.23591199983,106,35,7929,8070
53,ETH_USDC,ETH,USDC,2023-09-19,1695081600,1647.3562746588702,-9.428283106912152,1653.2184013123117,6.082873158952874,-3.3454099479592783,3.2881617883881548e+16,-3.612935782944473e+16,-3247739945563180.0,1642.3353151463057,1760.4691336873966,1626.6873526598245,6.821272793864684,452.4192956257878,-444.78345103146074,7.635844594327068,156,37,7610,7803
54,ETH_USDC,ETH,USDC,2023-09-20,1695168000,1636.076427411163,-7.117456483604102,1592.6804321631496,4.2515581157683915,-2.865898367835711,1.4440947976051904e+16,-1.0751867909823028e+16,3689080066228876.0,1633.818670212766,1651.3284633662818,1585.3944545898971,7.16020024881988,462.0450505645418,-507.18197904803907,-45.136928483497286,178,33,6933,7144
55,USDC_USDT,USDC,USDT,2023-09-20,1695168000,0.9983886857142857,-125918.81678999998,1.0121226432434371,33500.631239,-92418.18555099997,439392811768270.0,-289314876741314.0,150077935026956.0,0.9998197379223785,1.0134454930634889,0.995910298064375,0.000602866063206785,3691410.990473,-3641422.9972560005,49987.99321699934,78,36,7905,8019
56,ETH_USDC,ETH,USDC,2023-09-21,1695254400,1605.9476249142253,-10.89939891309038,1421.3245732169216,4.091649458400441,-6.807749454689939,2.4826128918108595e+18,-2.471849352403082e+18,1.076353940777728e+16,1616.5792429380513,1629.2390868421705,1285.732653323619,15.468624810136252,414.9276441695988,-435.56736078088164,-20.639716611282836,108,98,6721,6927
57,USDC_USDT,USDC,USDT,2023-09-21,1695254400,0.9972057232623804,-82538.58103799999,1.0095349327667895,36118.561818,-46420.01921999999,685035454345962.0,-429440543201123.0,255594911144839.0,0.9999881654132174,1.0029639246659117,0.9945672945451418,0.00027634886583539545,3600331.365573,-3581901.5835800003,18429.781992999837,70,27,7869,7966
58,ETH_USDC,ETH,USDC,2023-09-22,1695340800,1603.8202861511504,-36.75029458460524,1548.4667327684836,9.951052635894467,-26.799241948710776,1.1849049415484037e+18,-1.1359692847709745e+18,4.893565677742925e+16,1592.68836375442,1630.04242044594,1577.9184409460845,4.533682580857526,386.5347788019177,-373.2047764533098,13.330002348607877,138,55,7430,7623
59,USDC_USDT,USDC,USDT,2023-09-22,1695340800,0.983062215587065,-57419.795478,0.9565723701923234,60800.595935,3380.8004569999976,574773385656600.0,-677806917042069.0,-103033531385469.0,0.9998723369469819,1.0126582278481013,0.9931818181818182,0.00036613171200643895,3051878.4702279996,-3100897.4362230003,-49018.965995000675,74,28,7114,7216
60,ETH_USDC,ETH,USDC,2023-09-23,1695427200,1595.6411485153653,-34.33894187226732,1131.671732278543,8.1022624392254,-26.23667943304192,4.9964317023204416e+17,-4.357794850405641e+17,6.386368519148006e+16,1591.703008035157,1629.3026560649637,1577.5,2.2530923129209404,585.1246086146735,-562.477073304621,22.647535310052604,159,69,9974,10202
61,USDC_USDT,USDC,USDT,2023-09-23,1695427200,1.0099371389685847,-62749.20013700001,1.010286531333694,24355.263256000002,-38393.936881,569113039647310.0,-452348023388267.0,116765016259043.0,0.9998013414579132,1.0037360991894941,0.997,0.00017398869277568903,5004891.969291,-4962037.972281,42853.99701000005,89,55,9194,9338
62,ETH_USDC,ETH,USDC,2023-09-24,1695513600,1620.619141535937,-26.42694918345458,1515.4100538441712,11.889973222698707,-14.536975960755875,4.989736588869568e+17,-4.332653341306585e+17,6.57083247562983e+16,1590.1740167741937,1600.2414340513105,1573.0337078651687,2.6004733122173898,712.5155610271706,-665.594438045825,46.92112298134566,205,70,9809,10084
63,USDC_USDT,USDC,USDT,2023-09-24,1695513600,1.0194524780854068,-116391.43612,1.0217077638526781,64302.571864000005,-52088.86425599999,923335701274027.0,-245044739276239.0,678290961997788.0,0.9997993330294046,1.0040731952425557,0.9873618000000001,0.00022278164728016254,5215056.211314,-5118176.000527,96880.21078700013,144,68,7824,8036
64,ETH_USDC,ETH,USDC,2023-09-25,1695600000,1577.869957864586,-33.03521175349487,1584.4262272452097,17.604514453652495,-15.430697299842375,4.0945659973783955e+17,-4.4115630617378086e+17,-3.169970643594131e+16,1577.3104173041565,1611.918608400492,1561.2658594228055,6.407278176794576,789.2151255076883,-714.7444260226802,74.47069948500814,161,75,9431,9667
