tag,token0,token1,date,timestamp,token0_hourly_price_median_mint,token0_hourly_amount_mint,token0_hourly_price_median_burn,token0_hourly_amount_burn,token0_hourly_amount_net_mint_burn,liquidity_hourly_sum_mint,liquidity_hourly_sum_burn,liquidity_hourly_net_mint_burn,liquidity_hourly_cum_sum_mint,liquidity_hourly_cum_sum_burn,liquidity_hourly_cum_net_mint_burn,token0_hourly_price_median_swap,token0_hourly_price_min_swap,token0_hourly_price_max_swap,token0_hourly_price_std_swap,token0_hourly_amount_buy_swap,token0_hourly_amount_sell_swap,token0_hourly_amount_net_swap,token0_hourly_amount_cum_buy_swap,token0_hourly_amount_cum_sell_swap,token0_hourly_amount_cum_net_swap,total_events_hourly_mint,total_events_hourly_burn,total_events_hourly_swap,total_events_hourly
STRK_ETH,STRK,ETH,2024-02-19 13:00:00,1708347600,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,2,1,0,3
STRK_USDC,STRK,USDC,2024-02-19 14:00:00,1708351200,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,2,0,0,2
STRK_ETH,STRK,ETH,2024-02-19 15:00:00,1708354800,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,10,1,0,11
STRK_USDC,STRK,USDC,2024-02-19 15:00:00,1708354800,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,4,1,0,5
STRK_USDC,STRK,USDC,2024-02-19 16:00:00,1708358400,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,2,1,0,3
STRK_ETH,STRK,ETH,2024-02-19 16:00:00,1708358400,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,3,1,0,4
STRK_USDT,STRK,USDT,2024-02-19 16:00:00,1708358400,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,0,1
STRK_ETH,STRK,ETH,2024-02-19 17:00:00,1708362000,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,2,0,0,2
STRK_USDC,STRK,USDC,2024-02-19 18:00:00,1708365600,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,12,1,0,13
STRK_USDC,STRK,USDC,2024-02-19 18:00:00,1708365600,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,2,0,0,2
STRK_USDC,STRK,USDC,2024-02-19 19:00:00,1708369200,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,11,1,0,12
STRK_ETH,STRK,ETH,2024-02-19 19:00:00,1708369200,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,2,1,0,3
STRK_USDC,STRK,USDC,2024-02-19 20:00:00,1708372800,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,5,2,0,7
STRK_ETH,STRK,ETH,2024-02-19 20:00:00,1708372800,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,7,0,0,7
STRK_USDC,STRK,USDC,2024-02-19 21:00:00,1708376400,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,3,0,0,3
STRK_ETH,STRK,ETH,2024-02-19 21:00:00,1708376400,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,17,0,0,17
STRK_ETH,STRK,ETH,2024-02-19 22:00:00,1708380000,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,6,2,0,8
STRK_USDC,STRK,USDC,2024-02-19 22:00:00,1708380000,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,5,0,0,5
STRK_USDC,STRK,USDC,2024-02-19 23:00:00,1708383600,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,2,0,0,2
STRK_ETH,STRK,ETH,2024-02-20 00:00:00,1708387200,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,0,1
STRK_USDC,STRK,USDC,2024-02-20 00:00:00,1708387200,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,0,1
STRK_ETH,STRK,ETH,2024-02-20 01:00:00,1708390800,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,0,1
STRK_USDC,STRK,USDC,2024-02-20 02:00:00,1708394400,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,2,0,0,2
STRK_USDC,STRK,USDC,2024-02-20 03:00:00,1708398000,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,4,0,0,4
STRK_USDC,STRK,USDC,2024-02-20 03:00:00,1708398000,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,0,1
STRK_ETH,STRK,ETH,2024-02-20 03:00:00,1708398000,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,2,0,0,2
STRK_USDC,STRK,USDC,2024-02-20 04:00:00,1708401600,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,6,1,0,7
STRK_ETH,STRK,ETH,2024-02-20 04:00:00,1708401600,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,9,0,0,9
STRK_ETH,STRK,ETH,2024-02-20 04:00:00,1708401600,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,3,2,0,5
STRK_ETH,STRK,ETH,2024-02-20 05:00:00,1708405200,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,5,0,0,5
STRK_USDC,STRK,USDC,2024-02-20 05:00:00,1708405200,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,5,0,0,5
STRK_USDC,STRK,USDC,2024-02-20 06:00:00,1708408800,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,11,1,0,12
STRK_ETH,STRK,ETH,2024-02-20 06:00:00,1708408800,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,15,2,0,17
STRK_ETH,STRK,ETH,2024-02-20 07:00:00,1708412400,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,18,0,0,18
