,tag,token0,token1,date,timestamp,token0_hourly_price_median_mint,token0_hourly_amount_mint,token0_hourly_price_median_burn,token0_hourly_amount_burn,token0_hourly_amount_net_mint_burn,liquidity_hourly_sum_mint,liquidity_hourly_sum_burn,liquidity_hourly_net_mint_burn,token0_hourly_price_median_swap,token0_hourly_price_min_swap,token0_hourly_price_max_swap,token0_hourly_price_std_swap,token0_hourly_amount_buy_swap,token0_hourly_amount_sell_swap,token0_hourly_amount_net_swap,token0_hourly_amount_cum_buy_swap,token0_hourly_amount_cum_sell_swap,token0_hourly_amount_cum_net_swap,total_events_hourly_mint,total_events_hourly_burn,total_events_hourly_swap,total_events_hourly,token0_daily_amount_net_swap,liquidity_hourly_cum_sum_mint,liquidity_hourly_cum_sum_burn
27,STRK_USDC,STRK,USDC,2024-02-19 23:00:00,1708383600,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2,0,0,2,,0.0,0.0
28,STRK_USDC,STRK,USDC,2024-02-20 00:00:00,1708387200,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1,0,0,1,,0.0,0.0
29,STRK_USDC,STRK,USDC,2024-02-20 02:00:00,1708394400,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2,0,0,2,,0.0,0.0
30,STRK_USDC,STRK,USDC,2024-02-20 03:00:00,1708398000,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,4,0,0,4,,0.0,0.0
31,STRK_USDC,STRK,USDC,2024-02-20 03:00:00,1708398000,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1,0,0,1,,0.0,0.0
32,STRK_USDC,STRK,USDC,2024-02-20 04:00:00,1708401600,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,6,1,0,7,,0.0,0.0
33,STRK_USDC,STRK,USDC,2024-02-20 05:00:00,1708405200,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,5,0,0,5,,0.0,0.0
34,STRK_USDC,STRK,USDC,2024-02-20 06:00:00,1708408800,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,11,1,0,12,,0.0,0.0
35,STRK_USDC,STRK,USDC,2024-02-20 07:00:00,1708412400,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,13,0,0,13,,0.0,0.0
36,STRK_USDC,STRK,USDC,2024-02-20 08:00:00,1708416000,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,14,1,0,15,,0.0,0.0
37,STRK_USDC,STRK,USDC,2024-02-20 09:00:00,1708419600,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,20,7,0,27,,0.0,0.0
38,STRK_USDC,STRK,USDC,2024-02-20 10:00:00,1708423200,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,33,6,0,39,,0.0,0.0
39,STRK_USDC,STRK,USDC,2024-02-20 11:00:00,1708426800,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,58,8,0,66,,0.0,0.0
40,STRK_USDC,STRK,USDC,2024-02-20 12:00:00,1708430400,2.1204131966356323,-1506.3498002280635,8.338784647635746,106.95543987370746,-1399.394360354356,1.7052965804790213e+18,-4.3172049476779226e+17,1.273576085711229e+18,2.024330154360147,3.335991653202906,1.754413699093155,0.320356818987738,266639.07513795345,-458971.2692694145,-192332.19413146103,266639.07513795345,-458971.2692694145,-192332.19413146103,58,21,1301,1380,,1.7052965804790213e+18,-4.3172049476779226e+17
41,STRK_USDC,STRK,USDC,2024-02-20 13:00:00,1708434000,7.868127522279733,-102.14303913474276,29.872254260532426,1111.357580229979,1009.2145410952364,8.340004597577691e+17,-1.2456731733767404e+18,-4.1167271361897126e+17,2.7559486488655387,7.377416331081063,1.8851852835067109,1.2479072906651765,400450.15418450464,-250267.663893093,150182.49029141164,400450.15418450464,-250267.663893093,150182.49029141164,26,53,1338,1417,,8.340004597577691e+17,-1.2456731733767404e+18
42,STRK_USDC,STRK,USDC,2024-02-20 14:00:00,1708437600,1.6424192899165293,-16270.797118278504,0.9190774185514426,2679.055784963976,-13591.741333314529,1.199093078239706e+18,-3.399538653289274e+17,8.591392129107784e+17,2.603734092311477,4.82079883,0.6035786535028757,0.5205268962340055,467810.5787537471,-656331.9088672097,-188521.33011346264,467810.5787537471,-656331.9088672097,-188521.33011346264,46,21,1773,1840,,1.199093078239706e+18,-3.399538653289274e+17
43,STRK_USDC,STRK,USDC,2024-02-20 15:00:00,1708441200,2.1410389375783243,-11869.326421203252,17.49608344249913,72.98851244033574,-11796.337908762916,1.8645539230321413e+18,-2.240758414411613e+18,-3.762044913794716e+17,2.238655030236249,2.601170202709775,1.908529293958587,0.1684841733359185,1210696.8897397032,-1601602.9188264932,-390906.0290867901,1210696.8897397032,-1601602.9188264932,-390906.0290867901,57,20,2435,2512,,1.8645539230321413e+18,-2.240758414411613e+18
44,STRK_USDC,STRK,USDC,2024-02-20 16:00:00,1708444800,1.9895376349,-21650.36222627591,1.4714740500988186,9893.7627240338,-11756.599502242108,2.341215966727383e+18,-2.973163110792099e+18,-6.319471440647158e+17,2.161688144390639,2.5555737835541983,0.6118236756672359,0.1960395273151043,2643349.2468283186,-2472739.2573055457,170609.98952277284,2643349.2468283186,-2472739.2573055457,170609.98952277284,42,19,3064,3125,,2.341215966727383e+18,-2.973163110792099e+18
45,STRK_USDC,STRK,USDC,2024-02-20 17:00:00,1708448400,1.970767300900384,-16235.606181385563,1.0913780095558514,17820.804434518785,1585.1982531332196,1.1746694867674118e+19,-1.154257852412507e+19,2.0411634354904883e+17,2.0703975766071427,2.49973925477207,0.769001,0.1373842138027697,2345149.422911573,-2768094.27559522,-422944.8526836466,2345149.422911573,-2768094.27559522,-422944.8526836466,49,19,2404,2472,,1.1746694867674118e+19,-1.154257852412507e+19
46,STRK_USDC,STRK,USDC,2024-02-20 18:00:00,1708452000,1.974829714127892,-21349.10985090468,0.1032706016795527,1217.725266966263,-20131.384583938416,6.812482747725624e+17,-1.08814879441017e+17,5.724333953315455e+17,1.9674809535076585,2.2186973579051177,1.645107737726114,0.1094600901097602,2179440.129803258,-1718748.3086826908,460691.8211205672,2179440.129803258,-1718748.3086826908,460691.8211205672,54,10,2455,2519,,6.812482747725624e+17,-1.08814879441017e+17
47,STRK_USDC,STRK,USDC,2024-02-20 19:00:00,1708455600,2.013681337282664,-23278.89434986091,12.388541750118028,8356.099713753973,-14922.79463610694,4.497861024741537e+17,-3.4009358724609574e+17,1.0969251522805798e+17,2.0698034548896285,2.1358944569438463,1.990480587962963,0.0341019868097576,495933.6813287857,-840045.9616163496,-344112.2802875639,495933.6813287857,-840045.9616163496,-344112.2802875639,103,14,2048,2165,,4.497861024741537e+17,-3.4009358724609574e+17
48,STRK_USDC,STRK,USDC,2024-02-20 20:00:00,1708459200,1.9696580393974128,-14663.437946709597,0.5036059119646037,398.0493045007968,-14265.388642208798,4.02683949243234e+17,-1.902937568435886e+17,2.1239019239964538e+17,2.007479896529412,2.074231246936054,1.921512728,0.0275453663749512,591606.8615782822,-644689.8795460407,-53083.01796775847,591606.8615782822,-644689.8795460407,-53083.01796775847,57,9,1368,1434,,4.02683949243234e+17,-1.902937568435886e+17
49,STRK_USDC,STRK,USDC,2024-02-20 21:00:00,1708462800,1.8792797403674293,-15444.153697640257,1.4276865635197669,187.47543075884371,-15256.678266881412,1.941117436534253e+18,-6.540537606472424e+17,1.2870636758870108e+18,1.9719308164458824,2.0562406435684526,1.9043037371299985,0.0244492402835092,600967.2558301843,-1025524.0004592245,-424556.7446290401,600967.2558301843,-1025524.0004592245,-424556.7446290401,65,9,1779,1853,,1.941117436534253e+18,-6.540537606472424e+17
50,STRK_USDC,STRK,USDC,2024-02-20 22:00:00,1708466400,1.762520937696406,-17354.483925422726,0.4461206490215446,116.32793531037332,-17238.155990112355,9.284935356617628e+17,-7.224941428106167e+17,2.059993928511461e+17,1.8764750467547784,2.0129386926837847,1.8126269741176468,0.054175235747147,882640.4608857485,-1372768.3403673016,-490127.8794815531,882640.4608857485,-1372768.3403673016,-490127.8794815531,73,11,2022,2106,,9.284935356617628e+17,-7.224941428106167e+17
51,STRK_USDC,STRK,USDC,2024-02-20 23:00:00,1708470000,1.8374148698567807,-23597.232965084084,1.7085298473532229,2687.405599403753,-20909.82736568033,3.594635783843959e+17,-5.495107070338508e+17,-1.900471286494549e+17,1.902212138,1.943001638404724,1.8496107663865544,0.0185583608141179,465905.2837745349,-388144.3603989725,77760.92337556236,465905.2837745349,-388144.3603989725,77760.92337556236,64,12,1138,1214,,3.594635783843959e+17,-5.495107070338508e+17
52,STRK_USDC,STRK,USDC,2024-02-21 00:00:00,1708473600,1.8966681883559569,-28100.23079269054,3.3133119023319697,4437.368568813318,-23662.862223877222,6.608255086323779e+17,-9.631937842583053e+16,5.645061302065473e+17,1.986574766839396,2.0830630777767207,1.9157203638455609,0.0474010479429355,698640.3746077842,-229201.7132701532,469438.661337631,698640.3746077842,-229201.7132701532,469438.661337631,44,10,1313,1367,,6.608255086323779e+17,-9.631937842583053e+16
