tag,token0,token1,date,timestamp,token0_hourly_price_median_mint,token0_hourly_amount_mint,token0_hourly_price_median_burn,token0_hourly_amount_burn,token0_hourly_amount_net_mint_burn,liquidity_hourly_sum_mint,liquidity_hourly_sum_burn,liquidity_hourly_net_mint_burn,token0_hourly_price_median_swap,token0_hourly_price_min_swap,token0_hourly_price_max_swap,token0_hourly_price_std_swap,token0_hourly_amount_buy_swap,token0_hourly_amount_sell_swap,token0_hourly_amount_net_swap,token0_hourly_amount_cum_buy_swap,token0_hourly_amount_cum_sell_swap,token0_hourly_amount_cum_net_swap,total_events_hourly_mint,total_events_hourly_burn,total_events_hourly_swap,total_events_hourly,liquidity_hourly_cum_sum_mint,liquidity_hourly_cum_sum_burn
STRK_ETH,STRK,ETH,2024-02-21 17:00:00,1708534800,0.0006406858372944,-85831.58745407446,0.0005958993178471,12018.057374097372,-73813.53007997708,3.372931522008747e+22,-3.351607272895633e+22,2.1324249113114024e+20,0.0006522463465203,0.0006632776799583,0.0006397537934636,6.493595993017129e-06,1359537.3363560415,-1603134.761238463,-243597.4248824215,1359537.3363560415,-1603134.761238463,-243597.4248824215,83,24,1297,1404,3.372931522008747e+22,-3.351607272895633e+22
STRK_ETH,STRK,ETH,2024-02-21 18:00:00,1708538400,0.0006376136698283,-21995.81760545464,0.0004037957562241,2504.1730626541166,-19491.644542800525,2.4351272904072576e+22,-2.889464375537725e+21,2.146180852853485e+22,0.000642186580703,0.0006500933390321,0.0006363499697544,3.3489052441135128e-06,171338.78026869727,-595782.3600888746,-424443.5798201773,171338.78026869727,-595782.3600888746,-424443.5798201773,64,13,990,1067,2.4351272904072576e+22,-2.889464375537725e+21
STRK_ETH,STRK,ETH,2024-02-21 19:00:00,1708542000,0.0006269085074175,-30019.766034952183,0.0006023645110946,15188.90796117192,-14830.858073780262,3.2685699911097703e+22,-7.509349474668879e+21,2.5176350436428823e+22,0.000642088278535,0.0006489660674835,0.0006311478250957,3.225998297923581e-06,301293.28854067,-509238.222079158,-207944.93353848797,301293.28854067,-509238.222079158,-207944.93353848797,73,16,696,785,3.2685699911097703e+22,-7.509349474668879e+21
STRK_ETH,STRK,ETH,2024-02-21 20:00:00,1708545600,0.0006189266660559,-16801.69135692289,0.0004952368993338,8038.667335467854,-8763.024021455036,5.970659681123968e+21,-2.6421457250994026e+21,3.3285139560245656e+21,0.0006226639207983,0.0006345492580195,0.0006161240331138,4.422345706566935e-06,85397.60418772494,-1255392.8051062468,-1169995.200918522,85397.60418772494,-1255392.8051062468,-1169995.200918522,58,9,764,831,5.970659681123968e+21,-2.6421457250994026e+21
STRK_ETH,STRK,ETH,2024-02-21 21:00:00,1708549200,0.0006101269492478,-21867.806152441408,0.0003495368865312,609.6028313649276,-21258.20332107648,1.4092916039167938e+22,-4.61084475675526e+21,9.48207128241268e+21,0.0006152961883733,0.0006200316985861,0.0006102675815214,1.8641136308347177e-06,44628.44885782276,-658405.85997314,-613777.4111153171,44628.44885782276,-658405.85997314,-613777.4111153171,61,14,769,844,1.4092916039167938e+22,-4.61084475675526e+21
STRK_ETH,STRK,ETH,2024-02-21 22:00:00,1708552800,0.0005349257584624,-19287.38216071193,0.0002328447843101,3871.675198512225,-15415.706962199709,7.185111245938154e+21,-1.203660708390493e+21,5.981450537547661e+21,0.0006104044433062,0.0006206492228848,0.0006039663165408,3.3095855049877357e-06,414760.1730050234,-2923148.2674618727,-2508388.094456849,414760.1730050234,-2923148.2674618727,-2508388.094456849,102,16,1034,1152,7.185111245938154e+21,-1.203660708390493e+21
STRK_ETH,STRK,ETH,2024-02-21 23:00:00,1708556400,0.0005972199774179,-30603.637103747784,0.0004275703340255,20134.297275512214,-10469.33982823557,1.5549605232779322e+22,-1.3318416960268026e+22,2.231188272511296e+21,0.0006323236073885,0.0006378332694374,0.0006127055928536,6.889511941471022e-06,837366.2410034379,-229690.49886349775,607675.7421399402,837366.2410034379,-229690.49886349775,607675.7421399402,69,18,852,939,1.5549605232779322e+22,-1.3318416960268026e+22
STRK_ETH,STRK,ETH,2024-02-22 00:00:00,1708560000,0.0006068416286825,-21127.658013453587,0.0005964209866264,1513.0848779703508,-19614.573135483235,1.418307405564685e+22,-7.587970361454951e+20,1.3424277019501355e+22,0.000627366317769,0.0006406742079366,0.000619483728905,5.943959833398584e-06,226439.03465805063,-434985.5905376864,-208546.5558796357,226439.03465805063,-434985.5905376864,-208546.5558796357,77,8,564,649,1.418307405564685e+22,-7.587970361454951e+20
STRK_ETH,STRK,ETH,2024-02-22 01:00:00,1708563600,0.0006048532976615,-10124.748366608312,0.0002462475779556,2411.662419823639,-7713.085946784673,5.955006860324701e+21,-1.416129272677353e+21,4.5388775876473473e+21,0.0006334276543661,0.0006399349478154,0.000623829234681,3.8570503938828e-06,426945.53519628,-266177.82532715634,160767.70986912365,426945.53519628,-266177.82532715634,160767.70986912365,54,8,608,670,5.955006860324701e+21,-1.416129272677353e+21
STRK_ETH,STRK,ETH,2024-02-22 02:00:00,1708567200,0.0006210077312428,-68904.49080881101,0.0003029415161552,740.2085312065506,-68164.28227760446,2.686542773428644e+22,-4.51844896611569e+20,2.641358283767487e+22,0.0006274601013164,0.0006314276538128,0.0006244548919617,1.3945288473439827e-06,177635.51395242132,-719132.9030160483,-541497.389063627,177635.51395242132,-719132.9030160483,-541497.389063627,115,7,464,586,2.686542773428644e+22,-4.51844896611569e+20
STRK_ETH,STRK,ETH,2024-02-22 03:00:00,1708570800,0.0006147751969565,-21460.35201817016,0.0003052705748687,11561.002259533778,-9899.34975863638,1.1831055166450944e+22,-9.118841346395126e+21,2.712213820055818e+21,0.0006301456949915,0.0006427508242656,0.0006217010727969,6.661489788657225e-06,525428.2934354984,-1113966.7749817134,-588538.481546215,525428.2934354984,-1113966.7749817134,-588538.481546215,83,9,583,675,1.1831055166450944e+22,-9.118841346395126e+21
STRK_ETH,STRK,ETH,2024-02-22 04:00:00,1708574400,0.0006348615980884,-8833.881184568047,0.0007173613181725,1773.2544789104395,-7060.626705657607,7.282154998876494e+21,-4.456650776320928e+21,2.825504222555567e+21,0.0006431129844867,0.0006533579828691,0.000629837918883,6.355165395090878e-06,947447.4906309188,-958700.1351499396,-11252.644519020689,947447.4906309188,-958700.1351499396,-11252.644519020689,38,8,550,596,7.282154998876494e+21,-4.456650776320928e+21
STRK_ETH,STRK,ETH,2024-02-22 05:00:00,1708578000,0.0006341445167285,-45042.72620170066,0.0005220794208427,10133.326144324274,-34909.400057376384,3.056398153655236e+22,-6.121632735048935e+21,2.444234880150342e+22,0.000640101541424,0.0006532961839495,0.0006319110889134,5.095843657447521e-06,61740.07578775848,-658506.4757369676,-596766.3999492092,61740.07578775848,-658506.4757369676,-596766.3999492092,68,13,373,454,3.056398153655236e+22,-6.121632735048935e+21
STRK_ETH,STRK,ETH,2024-02-22 06:00:00,1708581600,0.000627979655998,-38882.53454096707,0.0006581857053294,7598.685235705663,-31283.849305261407,5.1935444925264085e+22,-4.202753117060125e+21,4.773269180820396e+22,0.0006308108836555,0.0006344326362014,0.0006271828101237,1.5856278105206985e-06,99507.40653483334,-334453.8465012536,-234946.43996642024,99507.40653483334,-334453.8465012536,-234946.43996642024,75,8,461,544,5.1935444925264085e+22,-4.202753117060125e+21
STRK_ETH,STRK,ETH,2024-02-22 07:00:00,1708585200,0.0006048606762485,-43581.6120658873,0.0004763960153834,2268.810145800568,-41312.801920086735,2.291342255315445e+22,-1.1303267687070622e+21,2.1783095784447387e+22,0.0006260226625881,0.0006294206557597,0.0006221827498393,1.6084697475827864e-06,223392.10183389383,-1030858.2676423852,-807466.1658084912,223392.10183389383,-1030858.2676423852,-807466.1658084912,131,9,591,731,2.291342255315445e+22,-1.1303267687070622e+21
STRK_ETH,STRK,ETH,2024-02-22 08:00:00,1708588800,0.0006176385903002,-30166.04856409973,0.0006314265810487,8884.603445826815,-21281.445118272917,1.4048839741139489e+22,-1.1748268756389218e+22,2.300570984750271e+21,0.0006345470974709,0.0006390750591747,0.0006247152915011,2.8772546752046325e-06,1010849.6148262996,-209046.7046982053,801802.9101280941,1010849.6148262996,-209046.7046982053,801802.9101280941,151,7,927,1085,1.4048839741139489e+22,-1.1748268756389218e+22
STRK_ETH,STRK,ETH,2024-02-22 09:00:00,1708592400,0.0006357538698458,-60986.79779597083,0.0003861224054913,33199.61169015265,-27787.186105818186,5.092336236744493e+22,-3.349378067135209e+22,1.742958169609284e+22,0.0006372169822326,0.0006416666612536,0.0006308105340612,2.570356022698144e-06,505938.7523297628,-503211.7618857853,2726.990443977469,505938.7523297628,-503211.7618857853,2726.990443977469,132,14,873,1019,5.092336236744493e+22,-3.349378067135209e+22
STRK_ETH,STRK,ETH,2024-02-22 10:00:00,1708596000,0.0006237578017183,-30844.00498080057,0.0006200636188013,4661.14292787681,-26182.862052923767,3.4091544690644128e+22,-3.877787081131384e+21,3.0213757609512744e+22,0.0006293963516185,0.0006387862823524,0.0006215175796187,3.780818796713906e-06,120788.94626207504,-1614381.784351374,-1493592.838089299,120788.94626207504,-1614381.784351374,-1493592.838089299,270,35,903,1208,3.4091544690644128e+22,-3.877787081131384e+21
STRK_ETH,STRK,ETH,2024-02-22 11:00:00,1708599600,0.0006186466328423,-20678.64518111207,0.000654364050028,7177.425623189378,-13501.219557922694,1.0096200193134603e+22,-6.502457543949415e+21,3.593742649185188e+21,0.0006269193038306,0.0006312393449153,0.0006206897506296,2.6170327450890115e-06,455581.6557622078,-542519.9190630151,-86938.26330080733,455581.6557622078,-542519.9190630151,-86938.26330080733,228,45,916,1189,1.0096200193134603e+22,-6.502457543949415e+21
STRK_ETH,STRK,ETH,2024-02-22 12:00:00,1708603200,0.0006076039479758,-35305.35874625461,0.0006271067648287,2320.8807136441933,-32984.47803261042,2.0705045233944523e+22,-1.3625229833279617e+21,1.934252225061656e+22,0.0006304524003429,0.0006350351989521,0.0006245676525723,2.6217959081521542e-06,256493.8626662734,-505268.62168998807,-248774.7590237147,256493.8626662734,-505268.62168998807,-248774.7590237147,291,34,860,1185,2.0705045233944523e+22,-1.3625229833279617e+21
